column,Row Order,JUDDS ADMIRAL,J_ S_ QUICKSILVER ROYAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),FYN LEMVIG,HIGHLAND DUNCAN LESTER,ROYALS GREEN ELMO,SOLDIERBOY BOOMER SOONER OF CJF,LAWMUIR ELTON,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,OKURA MANHATTEN-ET SJ3,KAARMONA VALERIAN,PARKWOOD CASPER,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,WILLAND ADS SAMUAL,MOLLY BROOK BRASS MAJOR,LIGHTWOOD LUCRATIVE,DUNCANS PRINCE MALCOLM,SKE IDE,ISDK Q IMPULS,BW PARADE-ET,VAN DER FITS FJORD GR,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,ROCK ELLA PARAMOUNT-ET,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,CRESCENT SENATOR SAM,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,CRESENT ROYAL CHARLES-ET,CARDRONA ROBERTO,WILLIAMS MINSTREL,DARAWAY FLOWERPOWER NAVARA,ALCISTON CHARLIES LAD,AHLEM LEMVIG ABE,KONUI GLEN ELMOS BOWIE,CAIRNBRAE JACES ELTON,PANNOO ABE VANAHLEM,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,OKURA LIKA MURMUR S3J,RICHIES JACE TBONE A364
CAIRNBRAE TBONE EDISON - CSCEDISON,40,0,0.391067538,0,0,0.277777778,0.192810458,0.171023965,0,0,0,0,0,0,0,0,0,0.080610022,0.078431373,0,0.053376906,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948
CAIRNBRAE TBONE ENSIGN - CAIRNBONE,41,0,0.391067538,0,0,0.277777778,0.192810458,0.171023965,0,0,0,0,0,0,0,0,0,0.080610022,0.078431373,0,0.053376906,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006535948
CAIRNBRAE JACES ELTON - ELTON,42,0,0.391067538,0,0,0.277777778,0,0,0,0.148148148,0,0,0,0,0,0,0.063180828,0.080610022,0.078431373,0,0.053376906,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030501089,0,0,0,0,0,0
WILLAND LT DYNAMO - NZGWILLANDMO,43,0.5,0.391067538,0,0,0,0.192810458,0,0,0,0,0,0,0.081699346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL LYNNS LEGAL VOLCANO-ET - 29JE3762,44,0,0,0.360566449,0,0,0.192810458,0.171023965,0,0.148148148,0,0,0,0,0,0,0.063180828,0,0,0,0,0,0,0.045751634,0.043572985,0,0,0,0,0.029411765,0.02832244,0.027233115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNSET CANYON DAVID - 0200JE00183,45,0,0,0.360566449,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045751634,0.043572985,0.035947712,0,0,0,0.029411765,0.02832244,0.027233115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0
ALL LYNNS VALENTINO MARVEL - 011JE1118,46,0,0,0.360566449,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045751634,0.043572985,0.035947712,0,0,0,0.029411765,0.02832244,0.027233115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0
BUTTERCREST GALVANIZE - 7J1151,47,0,0,0.360566449,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035947712,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0.009803922,0,0,0
VJ LURE - VIKLURE,48,0,0,0,0,0,0.192810458,0.171023965,0,0,0,0,0,0,0,0,0.063180828,0,0,0,0,0,0,0.045751634,0.043572985,0,0,0,0,0,0.02832244,0.027233115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARSDEN NN ELICIT - CRVELICIT,49,0,0,0,0.347494553,0,0,0,0,0,0,0,0,0,0,0.093681917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022875817,0.021786492,0.021786492,0,0.018518519,0,0,0,0,0,0,0,0,0,0,0,0
UPLAND PARK TS INDY S3J - NZGINDY,50,0,0,0,0,0,0.192810458,0,0,0,0,0,0,0.081699346,0,0.093681917,0,0,0,0.045751634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021786492,0.021786492,0,0.018518519,0,0,0.039215686,0,0,0,0,0,0,0,0,0
