column,Row Order,KAARMONA VALERIAN,JUDDS ADMIRAL,ROYALS GREEN ELMO,FYN LEMVIG,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,OKURA MANHATTEN-ET SJ3,CLAYDON PARK FLOWER POWER,LIGHTWOOD LUCRATIVE,COMFORT ROYAL ALF (E_T_),ROCK ELLA PERIMITER,TAWA GROVE MAUNGA ET S3J,PARKWOOD CASPER,HIGHLAND DUNCAN LESTER,WINDY WILLOW MONTANA JACE,ISDK Q IMPULS,NOAKES NEVVY SJ2,CAIRNBRAE JACES ELTON,SOLDIERBOY BOOMER SOONER OF CJF,PANNOO ABE VANAHLEM,WILLAND ADS SAMUAL,ALL LYNNS LOUIE VALENTINO,WILLIAMS MINSTREL,MITCHELLS LIKABULL SJ3,OKURA LIKA MURMUR S3J,NOWELL TARSAN,KONUI GLEN ELMOS BOWIE,RICHIES JACE TBONE A364,LAWMUIR ELTON,ALCISTON CHARLIES LAD,DARAWAY FLOWERPOWER NAVARA,VAN DER FITS FJORD GR,SKE IDE,ROCKMAPLE BROOK MONTANA,HIGHLAND MAGIC DUNCAN,AHLEM LEMVIG ABE,WILLIAMS ROBS NORMAN,BW PARADE-ET,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,SILVER FALLS QUICK FAME,BAYLEA PENNYS CARLOS SJ3,CRESENT ROYAL CHARLES-ET,MOLLY BROOK BRASS MAJOR,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,DUNCANS PRINCE MALCOLM,CARDRONA ROBERTO,CRESCENT SENATOR SAM
ALL LYNNS LEGAL VOLCANO-ET - 29JE3762,41,0,0,0,0.208331833,0.21549,0,0,0,0,0,0,0,0,0,0.067054333,0,0.264322917,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067708,0,0.021157667,0,0,0,0.035481667,0,0,0,0,0,0.015624583,0.015299083,0,0,0
LYNBROOK TERRIFIC ET S3J - NZGTERRI,42,0,0.298496083,0,0.208331833,0,0,0.124992667,0.242512917,0,0,0,0,0,0,0.067054333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL LYNNS LOUIE VALENTINO - 7J1038,43,0,0,0,0,0.2158155,0,0.124016083,0,0,0,0.167314083,0,0,0,0.067054333,0,0,0,0,0.048499833,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0.021157667,0,0,0.033528333,0.035481667,0.052083333,0,0,0,0,0,0,0,0,0
KAARMONA VASILIS - VASILIS,44,0,0,0,0.208331833,0.21549,0,0.124992667,0,0,0,0.171220333,0,0,0,0.067054333,0,0,0,0,0.048499833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049153333,0,0,0,0,0,0,0,0,0,0,0
WILLAND LT DYNAMO - NZGWILLANDMO,45,0,0.294264333,0,0.20735525,0,0,0.124016083,0.238606667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DONALDS EDIFY - NZGEDIFY,46,0,0.298170583,0,0,0,0.215490417,0.124992667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130208333,0,0,0,0,0,0,0,0.037107083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009114167
WHELDON GERONEMO - NZGNEMO,47,0,0.298170583,0,0.227863083,0,0,0.124992667,0,0,0,0,0,0,0,0.071937167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02213425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VJ LURE - VIKLURE,48,0,0,0,0.212238083,0,0,0,0,0,0,0,0,0,0,0.068030917,0,0.264322917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067708,0,0.021157667,0,0,0,0,0,0,0,0,0,0.015624583,0.015299083,0,0,0
MARSDEN NN ELICIT - CRVELICIT,49,0,0,0,0,0,0.210607583,0,0,0,0,0,0,0,0.146484,0,0,0,0.22265625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055664,0,0,0,0,0,0,0,0,0,0,0.013671667,0.009114167
BUTTERCREST GALVANIZE - 7J1151,50,0,0,0,0,0.214513417,0,0,0,0,0,0.1663375,0,0,0,0,0,0,0,0,0,0,0,0.145833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029622083,0.031575417,0.036458333,0,0,0,0,0,0,0,0,0
