column,Row Order,MOUNTFIELD SSI DCY MOGUL,AMIGHETTI NUMERO UNO,COYNE-FARMS DORCY,ENSENADA TABOO PLANET ET,LONG-LANGS OMAN OMAN,SEAGULL-BAY MVP-ET,SEAGULL-BAY SUPERSIRE,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,DE-SU 521 BOOKEM,BRAEDALE GOLDWYN,SANDY-VALLEY BOLTON,ROYLANE SOCRA ROBUST,PASEN MARSH,ROYLANE BOOKEM BOB 5170-ET,SHOREMAR JAMES,REGANCREST ALTAIOTA,VIEW-HOME MONTEREY-ET,CO-OP BOSSIDE MASSEY - ET,DE-SU BKM MCCUTCHEN,ROSE-BAUM TABOO,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,ROUMARE,MASCOL,SCHILLVIEW OMAN GERARD,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,EMPRISE BELL ELTON,VELVET-VIEW-KJ SOCRATES,COUNTRY ROAD ROUMARE CANBEE,END-ROAD PVF BOLIVER,OSDEL-ENDEAVOR BOVA CUBBY,PECKENSTEIN FORM BRET,APINA ALTAEMBASSY,BRYCEHOLME SS BOASTFUL,BUSHLEA PERFECTOR BOLD-ET,COGENT SUPERSHOT,COYNE-FARMS JACEY CRI - ET,END-ROAD BEACON,MORNINGVIEW MCC KINGBOY,SCHILLVIEW GARRETT,SEAGULL-BAY SILVER-ET,SIEMERS MOGUL PETY,S-S-I MONTROSS JEDI,STANTONS MAIN EVENT,UECKER SUPERSIRE JOSUPER-ET,VAL-BISSON DOORMAN,VIEW-HOME POWERBALL P ET,ZAHBULLS ALTA1STCLASS
ABS JERONIMO-P-ET (s.JSSUPERHERO) - 29HO18698,36,0,0.307065217,0,0,0.163892304,0,0.019701087,0,0,0,0,0,0.006623565,0,0,0,0,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB 53 KENOBI GIANNIS-ET (s.KENOBI) - 29HO19378,37,0.479449696,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEAK TELLMAN-ET (s.) - TELLMAN,38,0.479110043,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PROGENESIS DRACAENA (s.) - 0200HO11353,39,0.479110043,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA DIAMOND-ET (s.COMPLETE) - KARAT,40,0.479110043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002887217,0.006283957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOGHILL GLAMOUR PERSUADE (s.PERSEUS) - 29HO17458,41,0,0.306555696,0,0,0,0,0.019701087,0,0,0.028872217,0,0,0.006453739,0,0,0,0,0,0,0,0,0,0.003566565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUNDALONG HOTSPOT COLUMBUS-CNF-DPF-XIF-B (s.GGIHOTSPOT) - COLUMBUS,42,0,0.306725522,0,0,0,0,0.019361391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE HOTSPOT ALLANT 19 29-ET (s.GGIHOTSPOT) - WIFI,43,0,0.306555696,0,0,0,0,0.019361391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA NIPPON P (s.GGIHOTSPOT) - DELTANIPPONP,44,0,0.306555696,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENOVO 15504 SOLSTICE-P-ET (s.) - 29HO19227,45,0,0.306555696,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I HEADWAY ALLTIME-ET (s.) - 7HO13264,46,0,0,0,0.097994913,0,0,0.02173913,0,0,0,0,0,0.006963261,0,0,0,0,0,0.003396739,0,0,0,0,0,0.003566565,0,0,0,0,0.001528435,0,0.001018957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEAK FORTNITE-ET (s.) - FORTNITE,47,0,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEAK FSCNTR ALTAGLOW-ET (s.) - 011HO15023,48,0,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEAK MARUS ZAZZLE-ET (s.) - 011HO15036,49,0,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S-S-I NIGEL BIG DEAL-ET (s.) - 14HO14894,50,0,0,0,0,0,0,0.019191565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
