column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,SHOREMAR JAMES,BRAEDALE GOLDWYN,MAUGHLIN STORM,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,HILL VALLEY BASAR ACME,BASAR,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,GIBBON,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,MADAWASKA AEROSTAR,MARA-THON BW MARSHALL,CARENDA FABULON-ET,A RONNYBROOK PRELUDE ET,ROUMARE,TO-MAR BLACKSTAR ET,SHOREMAR PERFECT STAR (ET),MANNA FARM DEL SANTO,REGANCREST ELTON DURHAM,STARTMORE RUDOLPH,FUSTEAD EMORY BLITZ,ENSENADA TABOO PLANET ET,BELT,ROSE-BAUM TABOO,WALKWAY CHIEF MARK,DIXIE-LEE AARON -ET,SANDY-VALLEY BOLTON,LONG-LANGS OMAN OMAN,RICH-RO MARK SAM -ET,FATAL,JENNY-LOU MRSHL TOYSTORY,ELITE GOLD BULLION-IMP-ET,UFM-DUBS ALTAESQUIRE,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,GRAN-J OMAN MCCORMICK,EMERALD-ACRES-SA TONIC ET,ETAZON ADDISON,AG-HIGH SIGHTS BS INGOT-ET,NORRIELAKE CLEITUS LUKE TWIN,EMERALD-ACR-SA T-BAXTER,GLENN-ANN PALERMO,BUSHLEA PERFECTOR BOLD-ET,REGANCREST ALTAIOTA,MAPLE-DOWNS-I G W ATWOOD
OURWAY PLANE JACK - PLANEJACK,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965277778,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0.086805556,0,0.006944444,0.006944444,0,0,0,0.055555556,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,36,0.451388889,0,0.329861111,0,0.246527778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,37,0.451388889,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017361111,0.024305556,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11690 FANTASMIC - 29HO17652,38,0.451388889,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,39,0.451388889,0,0,0.260416667,0.246527778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,40,0.451388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329861111,0,0,0,0,0,0,0,0,0.065972222,0.006944444,0,0.006944444,0,0,0,0,0,0,0.045138889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,41,0.451388889,0,0.329861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0.006944444,0,0,0.024305556,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,42,0.451388889,0,0.329861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0.024305556,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,43,0,0,0,0.260416667,0.246527778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163194444,0,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0.006944444,0.006944444,0,0,0.059027778,0,0,0,0,0,0,0.006944444
HILL VALLEY SS NARDOO - NARDOO,44,0.451388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065972222,0.013888889,0,0.013888889,0,0,0,0,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,45,0.451388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048611111,0,0,0,0
ABS MARION-ET - 29HO18009,46,0.451388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024305556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,47,0.451388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024305556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,48,0,0,0.329861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020833333,0,0.006944444,0,0,0,0,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,49,0,0,0.329861111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.006944444,0,0.006944444,0,0,0,0,0,0,0,0,0,0.006944444,0.006944444,0,0,0,0,0,0,0,0,0,0
