column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,EMPRISE BELL ELTON,JOCKO BESN,SINGING-BROOK N-B MASCOT ET,MADAWASKA AEROSTAR,OSDEL-ENDEAVOR BOVA CUBBY,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),SOUTHWIND BELL OF BAR-LEE,BIS-MAY S-E-L MOUNTAIN ET,Q250 BESNE BUCK,TO-MAR BLACKSTAR ET,CAROL PRELUDE MTOTO ET,BASAR,HILL VALLEY BASAR ACME,HANOVERHILL STARBUCK,OUT-JOCK CHOICE AMEL,END-ROAD BLACKSTAR MAJIC-ET,LONG-LANGS OMAN OMAN,SHOREMAR PERFECT STAR (ET),PICSTON SHOTTLE,DIXIE-LEE AARON -ET,ELITE GOLD BULLION-IMP-ET,BELT,A RONNYBROOK PRELUDE ET,AG-HIGH SIGHTS BS INGOT-ET,BIS-MAY TRADITION CLEITUS,ETAZON KNOCK OUT,NORRIELAKE CLEITUS LUKE TWIN,MANNA FARM DEL SANTO,LEKKER VALIANT ROYALTY,STARTMORE RUDOLPH,EMERALD-ACRES-SA TONIC ET,BUSHLEA WAVES FABULON,FUSTEAD EMORY BLITZ,JARDIN,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,TOP DECK KO PIERRE,BUSHLEA PERFECTOR BOLD-ET,COUNTRY ROAD ROUMARE CANBEE
VH OYVIND - VIKHOYVIND,37,0.522727273,0.416666667,0,0,0,0,0,0,0.166666667,0,0,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,38,0.522727273,0.416666667,0,0,0,0,0,0,0,0,0,0.143939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0.045454545,0,0,0.03030303,0,0.022727273,0.022727273,0,0,0
HILL VALLEY NIELS - NIELS,39,0,0,0,0,0,0,0.287878788,0.287878788,0,0,0,0.143939394,0,0,0,0,0,0,0,0,0.128787879,0.090909091,0,0,0,0.068181818,0.068181818,0,0,0.068181818,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,40,0.522727273,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,41,0,0,0,0,0,0,0.287878788,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0.128787879,0.090909091,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,42,0,0,0,0,0,0,0.287878788,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0.068181818,0.068181818,0,0,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,43,0,0,0,0,0,0,0.287878788,0.287878788,0,0,0,0,0,0,0,0,0,0,0,0,0.128787879,0,0,0,0,0.068181818,0.068181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COGENT TWIST - COGENTTWIST,44,0,0,0,0,0,0,0,0,0,0,0,0.143939394,0,0,0,0,0,0,0,0,0.128787879,0.090909091,0,0,0.196969697,0,0,0,0,0.068181818,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,45,0.522727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,46,0,0,0,0,0,0,0,0,0,0,0.318181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143939394,0,0,0,0,0,0,0,0,0,0,0.037878788,0,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,47,0,0,0,0,0,0,0,0,0,0,0.318181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,48,0,0,0,0,0,0,0,0,0,0,0.318181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
