column,Row Order,GIBBON,A RONNYBROOK PRELUDE ET,HANOVERHILL STARBUCK,BIS-MAY S-E-L MOUNTAIN ET,CARENDA FABULON-ET,CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),FATAL,JOCKO BESN,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,ELITE GOLD BULLION-IMP-ET,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,AG-HIGH SIGHTS BS INGOT-ET,BELT,ETAZON KNOCK OUT,MADAWASKA AEROSTAR,HANOVER HILL INSPIRATION,ETAZON CELSIUS,A MARK CJ GILBROOK GRAND ET,CAL-CLARK BOARD CHAIRMAN,NORRIELAKE CLEITUS LUKE TWIN,HOW-EL-ACRES K BELLMAN ET,BUSHLEA WAVES FABULON,LYLEHAVEN AMBITION ET,MARA-THON BW MARSHALL,BRAEDALE GOLDWYN,MAIZEFIELD BELLWOOD - (E_T_),DELTA CLEITUS JABOT,JARDIN,MANNA FARM DEL SANTO,ETAZON ADDISON,BADGER-BLUFF FANNY FREDDIE,B-Y-U MANDEL BOMBAY,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,DE-SU DISTINCTION 11130,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,HA-HO CUBBY MANFRED-ET,HONEYCREST BOMBAY NIFTY,LADYS-MANOR PL SHAMROCK,LONG-LANGS OMAN OMAN,LUTZ-MEADOWS E MANDEL-ET
DE-SU ALTAMELHOR - 011HO11077,36,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,37,0,0,0,0,0,0,0,0,0,0.151832461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,38,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,39,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,40,0,0.136125654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEN-I-BEQ LAVAMAN - 0200HO06267,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0,0,0,0.020942408,0,0.015706806,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PETHERTON DENSITY - 0200HO02700,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0,0,0,0.020942408,0,0.015706806,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0,0,0,0.020942408,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052356021,0,0,0,0,0,0,0.020942408,0,0,0,0,0,0,0.005235602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015706806,0,0,0,0,0,0,0.036649215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031413613,0,0.020942408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
