column,Row Order,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,GIBBON,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,FATAL,A RONNYBROOK PRELUDE ET,BUSHLEA WAVES FABULON,JOCKO BESN,BASAR,BRAEDALE GOLDWYN,ELITE GOLD BULLION-IMP-ET,HANOVERHILL STARBUCK,CARLIN-M IVANHOE BELL,ETAZON KNOCK OUT,MANNA FARM DEL SANTO,MAUGHLIN STORM,BIS-MAY TRADITION CLEITUS,LEKKER VALIANT ROYALTY,BELT,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,MADAWASKA AEROSTAR,ETAZON CELSIUS,HANOVER HILL INSPIRATION,A MARK CJ GILBROOK GRAND ET,MARA-THON BW MARSHALL,CAL-CLARK BOARD CHAIRMAN,LYLEHAVEN AMBITION ET,NORRIELAKE CLEITUS LUKE TWIN,ETAZON ADDISON,HOW-EL-ACRES K BELLMAN ET,MAIZEFIELD BELLWOOD - (E_T_),DELTA CLEITUS JABOT,BADGER-BLUFF FANNY FREDDIE,B-Y-U MANDEL BOMBAY,CAROL PRELUDE MTOTO ET,CHARLESDALE SUPERSTITION,DE-SU DISTINCTION 11130,DIXIE-LEE AARON -ET,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,HA-HO CUBBY MANFRED-ET,HONEYCREST BOMBAY NIFTY,LADYS-MANOR PL SHAMROCK,LONG-LANGS OMAN OMAN,LUTZ-MEADOWS E MANDEL-ET
PETHERTON DENSITY - 0200HO02700,33,0,0,0,0,0,0,0,0,0,0,0.032653078,0,0,0,0,0,0.020407651,0,0,0,0,0,0,0,0,0.005101717,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU ALTAMELHOR - 011HO11077,34,0,0,0,0,0,0,0.039794437,0,0,0,0.020408174,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHMONEY-ET - JSCASHMONEY,35,0,0,0,0,0,0,0,0,0,0,0.032653078,0,0,0,0,0,0.020407651,0,0,0,0,0,0,0,0,0.005101717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FARNEAR-TBR-BH CASHCOIN-ET - JSCASHCOIN,36,0,0,0,0,0,0,0,0,0,0,0.032653078,0,0,0,0,0,0.020407651,0,0,0,0,0,0,0,0,0.005101717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,37,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0.013264987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRC GLENMEAD RUSH - NZGGLENRUSH,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04897805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN WRANGLER-ET - WRANGLER,39,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MANOMAN HUMMER-ET - GEEMCEE,40,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIGHETTI NUMERO UNO - 0200HO07450,41,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0.004081374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,42,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,43,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,44,0,0,0,0,0,0,0.039794437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYMENTHOLM S SYMPATICO - 0200HO02828,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019387569,0,0,0,0,0,0.005101717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004081374,0,0,0,0.011224039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PENN-ENGLAND ISADOR - 29HO16319,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
