column,Row Order,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,PICSTON SHOTTLE,HA-HO CUBBY MANFRED-ET,SINGING-BROOK N-B MASCOT ET,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,NORRIELAKE CLEITUS LUKE TWIN,SHOREMAR JAMES,JOCKO BESN,A MARK CJ GILBROOK GRAND ET,HANOVERHILL STARBUCK,OSDEL-ENDEAVOR BOVA CUBBY,DIXIE-LEE AARON -ET,MARA-THON BW MARSHALL,Q250 BESNE BUCK,ROTHROCK TRADITION LEADMAN,BRABANT STAR PATRON,MAIZEFIELD BELLWOOD - (E_T_),KED JUROR ET,OUT-JOCK CHOICE AMEL,SHEN-VAL NV LM FORMATION-ET,BIS-MAY TRADITION CLEITUS,CARLIN-M IVANHOE BELL,BIS-MAY S-E-L MOUNTAIN ET,LONG-LANGS OMAN OMAN,DELLKA JUROR GORDON - TW,GIBBON,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,AG-HIGH SIGHTS BS INGOT-ET,ELITE GOLD BULLION-IMP-ET,BURLANE TENNYSON,EXRANCO THOR,EMERALD-ACRES-SA TONIC ET,HANOVER HILL INSPIRATION,HOW-EL-ACRES K BELLMAN ET,LYLEHAVEN AMBITION ET,JENNY-LOU MRSHL TOYSTORY,JARDIN,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
MAIRE MINT FIRE-UP - NZGFIREUP,35,0.5,0,0,0,0,0.076612903,0.185483871,0.036290323,0,0,0,0,0,0,0.024193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,36,0.5,0,0,0,0,0.076612903,0,0.036290323,0,0.108870968,0,0,0,0,0.024193548,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,37,0,0,0,0,0,0,0.185483871,0,0,0,0,0,0,0.068548387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU DISTINCTION 11130 - 7HO11775,38,0,0,0,0.266129032,0.213709677,0.076612903,0,0.036290323,0,0,0,0,0,0,0,0.048387097,0,0,0,0,0,0,0.02016129,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,40,0,0,0,0,0,0,0.185483871,0,0,0,0,0.096774194,0,0,0,0,0,0.072580645,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0.016129032,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217741935,0,0,0,0,0,0.177419355,0,0,0,0,0,0,0,0,0,0,0,0.016129032,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,42,0,0,0.254032258,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,43,0,0,0.254032258,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,44,0,0,0.254032258,0,0,0.076612903,0,0.036290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,45,0,0,0,0,0,0,0.185483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02016129,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
