column,Row Order,O-BEE MANFRED JUSTICE,MAUGHLIN STORM,JOCKO BESN,HA-HO CUBBY MANFRED-ET,Q250 BESNE BUCK,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,BASAR,GIBBON,CARENDA FABULON-ET,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,BRAEDALE GOLDWYN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,SHOREMAR PERFECT STAR (ET),A MARK CJ GILBROOK GRAND ET,ROUMARE,JARDIN,BELT,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,MARA-THON BW MARSHALL,FATAL,JENNY-LOU MRSHL TOYSTORY,BADGER-BLUFF FANNY FREDDIE,REGANCREST ELTON DURHAM,WALKWAY CHIEF MARK,SKALSUMER SUNNY BOY,REGANCREST RBK DIE-HARD,PIROLO GOLDW_ WYMAN,KOLHORNER SUNSHINE,CHARLESDALE SUPERSTITION,COYNE-FARMS DORCY,DE-KA-ACRES MOUNT EARL,DE-SU OBSERVER,EMERALD-ACR-SA T-BAXTER,END-ROAD BLACKSTAR MAJIC-ET,END-ROAD PVF BOLIVER,ENSENADA TABOO PLANET ET,GENERVATIONS EPIC,MOUNTFIELD SSI DCY MOGUL,RAMOS,RIDGE-STAR JAMMER,ROSE-BAUM TABOO,SANDY-VALLEY BOLTON,SEAGULL-BAY SUPERSIRE,STARTMORE RUDOLPH,VA-EARLY-DAWN SUDAN CRI-ET
ABS MACINTOSH-ET - 29HO17989,39,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,40,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,41,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,42,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,43,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,44,0,0,0,0,0,0.164893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRENTANO - GGIBRENTANO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MANSFIELD-ET - 29HO18006,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
