column,Row Order,O-BEE MANFRED JUSTICE,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,CARENDA FABULON-ET,BRAEDALE GOLDWYN,SHOREMAR JAMES,BASAR,HILL VALLEY BASAR ACME,MAUGHLIN STORM,GIBBON,JOCKO BESN,MANNA FARM DEL SANTO,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,ROUMARE,ADLEJAMA DELSANTO PICOLA,LONG-LANGS OMAN OMAN,PICSTON SHOTTLE,EMPRISE BELL ELTON,SHOREMAR PERFECT STAR (ET),OUT-JOCK CHOICE AMEL,CAROL PRELUDE MTOTO ET,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,DIXIE-LEE AARON -ET,BELT,EMERALD-ACRES-SA TONIC ET,TO-MAR BLACKSTAR ET,REGANCREST ELTON DURHAM,ELITE GOLD BULLION-IMP-ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,FUSTEAD EMORY BLITZ,RALMA GOLD CROWN,ROYLANE SOCRA ROBUST,STARTMORE RUDOLPH,VELVET-VIEW-KJ SOCRATES,ETAZON ADDISON,PIROLO GOLDW_ WYMAN,BUSHLEA PERFECTOR BOLD-ET,GLENN-ANN PALERMO,VEAZLAND MARION,SEAGULL-BAY SUPERSIRE,KAARMONA ATLEY,MAPLE-DOWNS-I G W ATWOOD,AMIGHETTI NUMERO UNO,GRAN-J OMAN MCCORMICK,SCHILLVIEW OMAN GERARD
DE SU 11949 PENALTY - 29HO17732,36,0,0.275362319,0.275362319,0,0,0.355072464,0.355072464,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0,0,0.086956522,0.137681159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,37,0.5,0.275362319,0.275362319,0,0,0.355072464,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11680 BRAUN-ET - 29HO16954,38,1,0,0,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM MILLARD BIOGOLDMILL - GOLDMILL,39,0.5,0,0,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0.15942029,0,0,0.086956522,0.137681159,0,0,0,0,0,0,0.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014492754
OURWAY PLANE JACK - PLANEJACK,40,0,0.275362319,0.275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0.065217391,0,0,0,0,0.246376812,0,0.224637681,0,0.144927536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,41,0,0.826086957,0.275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0.065217391,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,42,0.5,0.275362319,0.275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,43,0.5,0.275362319,0.275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028985507,0,0.02173913,0,0.02173913,0,0,0,0,0,0.014492754,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,44,0.5,0,0,0.398550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0,0,0,0,0,0,0,0,0.079710145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 12659 TACTIC - 29HO17919,45,0.5,0.275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101449275,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007246377,0,0
DE-SU 11231 TURVY-ET - 29HO16668,46,0,0.275362319,0.275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0
ABS MARION-ET - 29HO18009,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,50,0,0.275362319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0
