column,Row Order,O-BEE MANFRED JUSTICE,ADLEJAMA DELSANTO PICOLA,BRAEDALE GOLDWYN,MANNA FARM DEL SANTO,ENSENADA TABOO PLANET ET,HILL VALLEY BASAR ACME,CARENDA FABULON-ET,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,JOCKO BESN,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,ROUMARE,BASAR,JARDIN,RALMA GOLD CROWN,MAUGHLIN STORM,SEAGULL-BAY SUPERSIRE,PICSTON SHOTTLE,BUSHLEA PERFECTOR BOLD-ET,PIROLO GOLDW_ WYMAN,GIBBON,GLENN-ANN PALERMO,Q250 BESNE BUCK,AMIGHETTI NUMERO UNO,KAARMONA ATLEY,ROYLANE SOCRA ROBUST,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,CAROL PRELUDE MTOTO ET,ELITE GOLD BULLION-IMP-ET,EMPRISE BELL ELTON,OUT-JOCK CHOICE AMEL,SHOREMAR PERFECT STAR (ET),END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,MAPLE-DOWNS-I G W ATWOOD,SCHILLVIEW OMAN GERARD,EMERALD-ACRES-SA TONIC ET,VELVET-VIEW-KJ SOCRATES,GRAN-J OMAN MCCORMICK,MADAWASKA AEROSTAR,REGANCREST ELTON DURHAM,VEAZLAND MARION,STARTMORE RUDOLPH,BELT,AG-HIGH SIGHTS BS INGOT-ET,ETAZON ADDISON,FUSTEAD EMORY BLITZ,TO-MAR BLACKSTAR ET
NEWHOUSE SKYFALL - CRVSKYFALL,20,0.433158889,0,0.506944444,0,0,0,0,0.34375,0.126735111,0,0,0.105900667,0,0,0,0,0.096350889,0,0,0,0,0,0,0,0,0,0,0.027776,0.020832889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW PREDESTINE MANSHED - MANSHED,21,0.433158889,0,0.496527778,0,0.270833333,0,0,0,0.124130889,0,0.067706667,0.105900667,0,0,0,0,0,0,0.042534667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,22,0,0,0.496527778,0,0.28125,0,0,0,0.124130889,0,0.070310889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0.011284222,0,0.011284222,0,0.083333333,0,0,0,0,0,0.020832889,0.0625,0,0,0,0.021700667,0,0
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,23,0,0,0.496527778,0,0.270833333,0,0.279512222,0,0.124130889,0,0.067706667,0,0,0,0,0,0,0,0.045138889,0.194444444,0,0,0,0,0,0,0,0,0,0.019096667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW SS JAMPOT-ET - JAMPOT,24,0.434026889,0,0,0,0.270833333,0,0,0.34375,0,0,0.067706667,0.105900667,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.055555556,0,0.020832889,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0.00434,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,25,0.443575556,0,0.548611111,0,0,0,0,0,0.137151778,0,0,0.108504889,0,0,0,0,0.098955111,0,0,0,0,0,0,0,0,0,0,0.030380222,0,0,0,0.022568222,0,0,0,0.019096222,0,0,0,0,0,0.018228,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,26,0.433158889,0,0,0,0.270833333,0,0,0.34375,0,0,0.067706667,0.105900667,0,0,0,0,0,0,0.045138889,0,0,0,0,0,0.111111111,0,0,0,0.020832889,0.019096667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,27,0.430554667,0,0.496527778,0,0.270833333,0,0,0,0.124130889,0,0.067706667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,28,0.443575556,0,0,0,0.28125,0,0,0.385416667,0,0,0.070310889,0.108504889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023437111,0,0,0.022568222,0.011284222,0,0.011284222,0.019096222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GENERVATIONS LIQUID GOLD - GVLIQUIDGOLD,29,0.433158889,0,0,0,0.28125,0,0,0.34375,0,0,0.070310889,0.105900667,0,0,0,0,0,0,0.045138889,0,0,0,0,0,0,0,0,0,0.020832889,0.019096667,0,0,0.011284222,0,0.011284222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
