column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,LONG-LANGS OMAN OMAN,CARENDA FABULON-ET,SHOREMAR JAMES,JOCKO BESN,ROSE-BAUM TABOO,HA-HO CUBBY MANFRED-ET,BASAR,BUNDALONG MARKS MEDALLION,ROUMARE,MANNA FARM DEL SANTO,GIBBON,MAUGHLIN STORM,Q250 BESNE BUCK,CAROL PRELUDE MTOTO ET,ETAZON KNOCK OUT,GLENN-ANN PALERMO,JARDIN,A MARK CJ GILBROOK GRAND ET,FATAL,DIXIE-LEE AARON -ET,SANDY-VALLEY BOLTON,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,STARTMORE RUDOLPH,OSDEL-ENDEAVOR BOVA CUBBY,A RONNYBROOK PRELUDE ET,EMERALD-ACRES-SA TONIC ET,WALKWAY CHIEF MARK,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,END-ROAD PVF BOLIVER,FUSTEAD EMORY BLITZ,LARS-ACRES SHOT TRIGGER,MR CHASSITY GOLD CHIP,RAMOS,REGANCREST ALTAIOTA,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,10,0.427475774,0.762382038,0.219339623,0,0,0,0,0.19044634,0,0.054833962,0,0,0,0,0,0,0.127943396,0,0,0,0,0,0.044219019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPER LUCKYBRO - ET - LUCKYBRO,11,0.427475774,0.762382038,0.219339623,0,0,0,0,0.19044634,0,0.054833962,0,0,0,0,0,0,0.127943396,0,0,0,0,0,0.044219019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE GOLDWYN OMANROYAL 121003 - ROYALMAN,12,0.436320151,0.790683925,0,0,0,0,0,0.197521811,0,0,0.110256302,0,0,0,0,0,0.129712302,0,0,0,0,0,0.045987925,0,0,0,0.035375094,0.022993811,0,0,0,0.015918792,0,0,0.003537509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS HONDA-ET - MINOTAUR,13,0.427475774,0,0.219339623,0,0,0,0,0,0.386788075,0.054833962,0,0,0,0.317216755,0,0.252940377,0,0.079595774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRONTE PARK CASHCOIN ROWDY-ET - ROWLING,14,0.427475774,0.755306566,0.219339623,0,0,0,0,0.188677434,0,0.054833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,15,0.427475774,0.755306566,0.219339623,0,0,0,0,0.188677434,0,0.054833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 12128 TAILOR - 29HO17706,16,0.427475774,0.75353766,0.219339623,0.179244981,0,0,0,0,0,0.054833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE SU 11949 PENALTY - 29HO17732,17,0,0.755306566,0.219339623,0.188678943,0,0,0,0.188677434,0,0.054833962,0,0,0,0,0,0,0,0,0.056601811,0,0,0,0,0,0,0,0,0.022404226,0,0,0,0,0.010023094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11756 OCTAVIAN-ET - 29HO17509,18,0.429244679,0,0.219339623,0.181013887,0,0.273584906,0,0,0,0.054833962,0.108487396,0,0,0,0,0,0,0,0.054832906,0,0,0,0,0,0.017097962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW KINGBOY 9970-ET - GHOSTLY,19,0.429244679,0,0.217570717,0.179244981,0,0.273584906,0,0,0,0,0.108487396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017097962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DG VEKIS BOSS - AIBLOOPER,20,0.427475774,0,0.219339623,0.181013887,0,0.266509434,0,0,0,0.054833962,0,0,0,0,0,0,0,0,0.054832906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUPASQUIER PRIZIM - CBPRIZIM,21,0.427475774,0,0.219339623,0.179244981,0,0.266509434,0,0,0,0.054833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010613132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MYSTICAL - 29HO17876,22,0.428065358,0,0.219339623,0.179834566,0,0.266509434,0,0,0,0.054833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DENMIRE OVERSIDE MACARENA - CBMACARENA,23,0.429244679,0,0.219339623,0,0,0.273584906,0,0,0,0.054833962,0.108487396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017097962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
