column,Row Order,PICSTON SHOTTLE,O-BEE MANFRED JUSTICE,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,CAROL PRELUDE MTOTO ET,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,JENNY-LOU MRSHL TOYSTORY,MARA-THON BW MARSHALL,MAUGHLIN STORM,SHOREMAR JAMES,JOCKO BESN,BASAR,CARENDA FABULON-ET,COYNE-FARMS DORCY,ELITE GOLD BULLION-IMP-ET,LONG-LANGS OMAN OMAN,ROSE-BAUM TABOO,LUNCREST MILLARD,ROUMARE,EMPRISE BELL ELTON,MADAWASKA AEROSTAR,REGANCREST ELTON DURHAM,GRAN-J OMAN MCCORMICK,SANDY-VALLEY BOLTON,GIBBON,A RONNYBROOK PRELUDE ET,Q250 BESNE BUCK,AG-HIGH SIGHTS BS INGOT-ET,TO-MAR BLACKSTAR ET,A MARK CJ GILBROOK GRAND ET,DIXIE-LEE AARON -ET,OSDEL-ENDEAVOR BOVA CUBBY,SHOREMAR PERFECT STAR (ET),CHARLESDALE SUPERSTITION,ETAZON ADDISON,REGANCREST ALTAIOTA,OUT-JOCK CHOICE AMEL,STRATHAIRE SOUTHWIND LUKE-ET,END-ROAD PVF BOLIVER,HOW-EL-ACRES K BELLMAN ET,BELT,FATAL,END-ROAD BLACKSTAR MAJIC-ET,SCHILLVIEW OMAN GERARD,WALKWAY CHIEF MARK,RICH-RO MARK SAM -ET,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,BARBEE-M JUROR ITO
COUNTRY ROAD ROYALMAN 4198-ET - PROVINCE,21,0,0.288022788,0,0.136882146,0,0,0.075569165,0,0,0.115017504,0.049429542,0.082223341,0,0,0,0,0,0,0,0.066539932,0,0,0,0,0,0.023763471,0,0.021861965,0,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OURWAY PLANE JACK - PLANEJACK,22,0,0,0,0,0,0.076045637,0,0,0,0,0,0,0,0,0,0.493345642,0,0.019011166,0,0,0,0,0,0,0,0,0,0,0.121672289,0.118816258,0,0,0,0,0,0,0,0.005227925,0,0,0.030892293,0,0,0.00380216,0,0,0,0,0,0
ADLEJAMA PICOLA FAROUK - LJCOOL,23,0,0.286596902,0.244771802,0.131178723,0,0.047528523,0,0,0,0,0.048003656,0,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VIZABULL 375 - VIZABULL,24,0,0.293726211,0.244771802,0,0,0.047528523,0.076995051,0,0,0,0,0,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0.063209255,0,0,0,0,0,0,0,0,0,0,0,0.014732899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS JENGOLD - JENGOLD,25,0,0.289923929,0,0.136882146,0,0,0.07604442,0,0,0.115017504,0.049429542,0,0,0,0,0,0.038022818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01188137,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEWHOUSE SKYFALL - CRVSKYFALL,26,0,0.288022788,0,0.136882146,0,0,0.075569165,0,0,0.115017504,0.049429542,0,0,0,0,0,0.038022818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01188137,0.011406602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,27,0,0,0.244771802,0.136882146,0,0.047528523,0,0,0,0.115017504,0.049429542,0,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CROWN JAKOVICH - JAKOVICH,28,0,0.288022788,0,0.136882146,0,0,0.075569165,0,0,0.115017504,0.049429542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOMAR SUPERLUCKY-ET - SUPERLUCKY,29,0,0.286596902,0,0.136882146,0,0.047528523,0,0,0,0.115017504,0.049429542,0,0,0,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0.01188137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR SHOT DOZER 1491 - ET - DELISHDOZER,30,0,0.288498043,0,0,0,0,0.075569165,0,0.257128913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOMBOONA DAVINCI OMAN - TLGOMAN,31,0,0.288022788,0,0,0,0,0.075569165,0,0,0,0,0,0,0,0.12357416,0,0.038022818,0,0,0,0,0,0,0,0.070817469,0,0,0,0,0,0,0.011406602,0,0,0,0,0,0,0,0.007129187,0,0,0,0,0,0,0,0,0,0
RENGAW MOM JUSTLE - JUSTLE,32,0,0.293726211,0,0,0,0.053231946,0.076995051,0,0,0,0,0,0,0,0,0,0.060836509,0.013307743,0,0,0.063209255,0,0,0,0,0,0,0,0,0,0,0.012832488,0.014732899,0,0,0,0,0.003802038,0,0,0,0,0,0.002376274,0,0,0,0.006653811,0,0
HINDLEE PICOLA ROYALROUMARE 1414-ET - ROYALPIC,33,0,0,0.244771802,0,0,0.047528523,0,0,0,0,0,0.082223341,0.060836144,0.036596932,0,0,0,0.011881857,0,0.066539932,0,0,0,0,0,0.023763471,0,0.021861965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DELANO - DELANO,34,0,0,0.250475224,0,0,0,0,0,0,0,0,0.082223341,0.06226203,0.038022818,0,0,0,0,0,0.066539932,0,0,0,0,0,0.024238725,0,0.021861965,0,0,0,0,0,0.032793312,0,0,0,0,0,0,0,0.014257766,0,0,0,0,0,0,0,0
CARENDA PERTINENT - PERTINENT,35,0,0,0.244771802,0.131178723,0,0.047528523,0,0,0,0,0.048003656,0,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003326784,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,36,0,0,0.244771802,0.131178723,0,0.047528523,0,0,0,0,0.048003656,0,0.060836144,0.036596932,0,0,0,0.011881857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003326784,0
ROCKING-P GRAF LOTTIE DA-ET - LOTTIEDA,37,0,0.288498043,0,0.131178723,0,0,0.075569165,0,0,0,0.048003656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022813691,0,0,0.003802038,0,0.008555073,0,0,0,0,0,0,0,0,0,0
