column,Row Order,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,CAROL PRELUDE MTOTO ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,JOCKO BESN,HANOVERHILL STARBUCK,GIBBON,MARA-THON BW MARSHALL,BIS-MAY TRADITION CLEITUS,Q250 BESNE BUCK,ELITE GOLD BULLION-IMP-ET,MAIZEFIELD BELLWOOD - (E_T_),AG-HIGH SIGHTS BS INGOT-ET,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,KED JUROR ET,BIS-MAY S-E-L MOUNTAIN ET,OUT-JOCK CHOICE AMEL,ROUMARE,HOW-EL-ACRES K BELLMAN ET,HILL VALLEY BASAR ACME,ELITE MOUNTAIN DONOR IMP (E_T),BASAR,DIXIE-LEE AARON -ET,END-ROAD BLACKSTAR MAJIC-ET,NORRIELAKE CLEITUS LUKE TWIN,JENNY-LOU MRSHL TOYSTORY,BELT,CARENDA FABULON-ET,BRABANT STAR PATRON,ETAZON KNOCK OUT,LONG-LANGS OMAN OMAN,ROTHROCK TRADITION LEADMAN,LEKKER VALIANT ROYALTY,DELLKA JUROR GORDON - TW,BUSHLEA WAVES FABULON,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,36,0.5,0,0.326666667,0,0.226666667,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,37,0,0,0.326666667,0.36,0,0,0,0,0,0.213333333,0,0.103333333,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0.063333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,38,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0.023333333,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0
VH OYVIND - VIKHOYVIND,39,0,0.41,0,0,0.226666667,0.206666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,41,0,0,0.326666667,0,0.226666667,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,42,0,0,0.326666667,0,0.226666667,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,43,0,0,0.326666667,0,0.226666667,0.206666667,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,44,0,0,0,0,0,0,0,0,0,0,0,0.103333333,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0.133333333,0,0.123333333,0,0.013333333,0,0,0.086666667,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0,0,0,0.023333333,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
