column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,GIBBON,JOCKO BESN,CARENDA FABULON-ET,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,BRAEDALE GOLDWYN,MAUGHLIN STORM,MADAWASKA AEROSTAR,PICSTON SHOTTLE,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,Q250 BESNE BUCK,OSDEL-ENDEAVOR BOVA CUBBY,ROUMARE,ELITE MOUNTAIN DONOR IMP (E_T),ELITE GOLD BULLION-IMP-ET,A MARK CJ GILBROOK GRAND ET,BIS-MAY TRADITION CLEITUS,HILL VALLEY BASAR ACME,BIS-MAY S-E-L MOUNTAIN ET,BASAR,A RONNYBROOK PRELUDE ET,END-ROAD BLACKSTAR MAJIC-ET,OUT-JOCK CHOICE AMEL,DIXIE-LEE AARON -ET,LONG-LANGS OMAN OMAN,HANOVERHILL STARBUCK,ETAZON KNOCK OUT,BUSHLEA WAVES FABULON,AG-HIGH SIGHTS BS INGOT-ET,BELT,ROTHROCK TRADITION LEADMAN,LEKKER VALIANT ROYALTY,MJR BLACKSTAR EMORY-ET,MANNA FARM DEL SANTO,LYLEHAVEN AMBITION ET,JARDIN,BUSHLEA PERFECTOR BOLD-ET,HINDLEE MOM  R DALLAS 11910,RENGAW MANOMAN WRANGLER-ET,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
VH OYVIND - VIKHOYVIND,35,0.226923077,0.207692308,0,0,0,0.113461538,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,36,0.226923077,0.207692308,0,0,0,0.113461538,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.053846154,0.053846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST CABRIOLET-ET - CABRIOLET,37,0.226923077,0.207692308,0,0,0,0,0,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0.025,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVEN-PAR ZUMA - 29HO16607,38,0.226923077,0.207692308,0,0,0,0,0,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0.025,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY SUPERSIRE - 7H11351,39,0.226923077,0.207692308,0,0,0,0,0,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0.025,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,40,0,0,0,0,0,0,0.119230769,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0.025,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP BOSSIDE MASSEY - ET - CRMASSEY,41,0,0,0,0,0,0,0.119230769,0,0,0.071153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.05,0,0,0,0,0.034615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU RANSOM - ET - DESURANSOM,42,0.226923077,0.207692308,0,0,0,0,0,0,0,0.071153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0
CO-OP ROBUST JITTERBUG-ET - CRJITTERBUG,43,0.226923077,0.207692308,0,0,0,0,0,0,0,0.071153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,44,0,0,0,0,0,0,0,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,46,0,0,0,0,0,0,0.119230769,0,0,0,0.098076923,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,47,0,0,0,0,0,0,0,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,48,0,0,0,0,0,0,0,0,0,0,0,0.078846154,0.078846154,0,0,0,0,0,0,0,0,0,0,0,0.032692308,0.032692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
