column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,GIBBON,HANOVERHILL STARBUCK,BRAEDALE GOLDWYN,SHOREMAR JAMES,JOCKO BESN,Q250 BESNE BUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OUT-JOCK CHOICE AMEL,CARENDA FABULON-ET,A MARK CJ GILBROOK GRAND ET,ELITE MOUNTAIN DONOR IMP (E_T),BIS-MAY S-E-L MOUNTAIN ET,END-ROAD BLACKSTAR MAJIC-ET,BASAR,NORRIELAKE CLEITUS LUKE TWIN,ELITE GOLD BULLION-IMP-ET,HILL VALLEY BASAR ACME,BIS-MAY TRADITION CLEITUS,AG-HIGH SIGHTS BS INGOT-ET,BELT,ROTHROCK TRADITION LEADMAN,MARA-THON BW MARSHALL,EMERALD-ACRES-SA TONIC ET,LEKKER VALIANT ROYALTY,KED JUROR ET,BUSHLEA WAVES FABULON,JARDIN,LANCELOT,MASCOL,BUSHLEA PERFECTOR BOLD-ET,MANNA FARM DEL SANTO,ADLEJAMA DELSANTO PICOLA,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SCOTTS NORTHSEA
VH OYVIND - VIKHOYVIND,39,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELTA G-FORCE - CRVGFORCE,40,0.563218391,0.477011494,0,0,0.310344828,0,0,0.149425287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097701149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,41,0,0,0,0.402298851,0,0.25862069,0,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VH MIRACLE - VIKVHMIRACLE,42,0,0,0,0.402298851,0,0.25862069,0,0,0,0.224137931,0,0,0,0.264367816,0.24137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028735632,0,0,0,0,0,0,0,0,0,0,0
CLEAR-ECHO TABLE 757 - 7HO11730,43,0,0,0,0.402298851,0,0,0.385057471,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0.114942529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.448275862,0,0,0.24137931,0,0.166666667,0,0,0,0,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091954023,0.091954023,0.086206897,0,0,0,0,0.057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
