column,Row Order,J_ S_ QUICKSILVER ROYAL,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,TINOPAI WAIUKU GR,COMFORT ROYAL ALF (E_T_),ROYALS GREEN ELMO,FYN LEMVIG,SOLDIERBOY BOOMER SOONER OF CJF,HIGHLAND DUNCAN LESTER,ROCK ELLA PERIMITER,CLAYDON PARK FLOWER POWER,KAARMONA VALERIAN,LAWMUIR ELTON,HIGHLAND MAGIC DUNCAN,WINDY WILLOW MONTANA JACE,ROCKMAPLE BROOK MONTANA,OKURA MANHATTEN-ET SJ3,PARKWOOD CASPER,MOLLY BROOK BRASS MAJOR,DUNCANS PRINCE MALCOLM,LIGHTWOOD LUCRATIVE,SKE HEDE,SKE IDE,BW PARADE-ET,ISDK Q IMPULS,ROCK ELLA PARAMOUNT-ET,DARAWAY FLOWERPOWER NAVARA,KONUI GLEN ELMOS BOWIE,S_S_ QUICKSILVER OF FALLNEVA,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,VAN DER FITS FJORD GR,CAIRNBRAE JACES ELTON,TAWA GROVE MAUNGA ET S3J,BAYLEA PENNYS CARLOS SJ3,AHLEM LEMVIG ABE,LIGHTWOOD LEDA,WILLIAMS MINSTREL,NOAKES NEVVY SJ2,WILLIAMS ROBS NORMAN,MITCHELLS LIKABULL SJ3,SILVER FALLS QUICK FAME,ALL LYNNS LOUIE VALENTINO,BHF-SSF PARADE LOUIE,NOWELL TARSAN,RICHIES JACE TBONE A364,OKURA LIKA MURMUR S3J,PANNOO ABE VANAHLEM,WHITE STAR GREG,ABERDEEN VALERIAN SANDOWN-ET
WILLIAMS MINSTREL - NZGMINSTREL,34,0.392070485,0.5,0,0.3469163,0,0,0,0,0,0,0,0,0.11784141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007709251,0,0,0.098017621,0,0,0,0,0,0.045154185,0,0,0,0,0,0,0,0,0,0,0,0
CANAAN NEVVY PIONEER - CRVCANAAN,35,0,0.5,0,0.3469163,0,0,0.194933921,0,0.172907489,0,0,0,0,0,0,0,0.082599119,0.093612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022026432,0.022026432,0,0,0,0,0,0,0,0,0,0
ALMERVISTA BOND - ALMERBOND,36,0,0,0,0,0.27753304,0.292951542,0.194933921,0,0.172907489,0,0.1530837,0,0,0,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0
MONTANA PARK JUDLEE - JUDLEE,37,0.392070485,0.5,0,0,0,0,0.194933921,0,0.172907489,0,0,0,0,0.06277533,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHELDON GERONEMO - NZGNEMO,38,0.392070485,0.5,0,0,0,0,0.194933921,0,0.172907489,0,0,0,0,0.06277533,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAIRNBRAE TBONE EDISON - CSCEDISON,39,0.392070485,0,0,0,0.27753304,0,0.194933921,0,0.172907489,0,0,0,0,0,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0
CAIRNBRAE TBONE ENSIGN - CAIRNBONE,40,0.392070485,0,0,0,0.27753304,0,0.194933921,0,0.172907489,0,0,0,0,0,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0,0,0.007709251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0
CAIRNBRAE JACES ELTON - ELTON,41,0.392070485,0,0,0,0.27753304,0,0,0.146475771,0,0,0,0,0,0.06277533,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0,0,0.007709251,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALL LYNNS LEGAL VOLCANO-ET - 29JE3762,42,0,0,0.360132159,0,0,0,0.194933921,0.146475771,0.172907489,0,0,0,0,0.06277533,0,0,0,0,0,0,0,0,0.046255507,0,0.044052863,0.029735683,0,0,0,0.028634361,0.02753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIVERSIDE MAXIMUM APPEAL - MAXAPPEAL,43,0,0,0.360132159,0,0,0,0.194933921,0.146475771,0.172907489,0,0,0,0,0.06277533,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICHIES JACE TBONE A364 - TBONE,44,0,0,0,0,0,0,0.194933921,0.146475771,0.172907489,0,0,0,0,0.125550661,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660793,0,0,0,0
SUNSET CANYON DAVID - 0200JE00183,45,0,0,0.360132159,0,0.27753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046255507,0.036343612,0.044052863,0.029735683,0,0,0,0.028634361,0.02753304,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0
ALL LYNNS VALENTINO MARVEL - 011JE1118,46,0,0,0.360132159,0,0.27753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046255507,0.036343612,0.044052863,0.029735683,0,0,0,0.028634361,0.02753304,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0
BUTTERCREST GALVANIZE - 7J1151,47,0,0,0.360132159,0,0.27753304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036343612,0,0.029735683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009911894,0.009911894,0,0,0,0,0,0
MARSDEN NN ELICIT - CRVELICIT,48,0,0,0,0.3469163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093612335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022026432,0.022026432,0,0,0,0,0,0,0,0,0,0
WINDY WILLOW MONTANA JACE - 7J535,49,0,0,0,0,0,0,0,0.146475771,0,0,0,0,0,0.06277533,0.081497797,0.079295154,0,0,0.053964758,0.046255507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJ HULK - VIKHULK,50,0,0,0,0,0,0,0.194933921,0,0.172907489,0,0,0,0,0.06277533,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
