column,Row Order,KAARMONA VALERIAN,ROYALS GREEN ELMO,JUDDS ADMIRAL,MASON BOOMER SOONER BERRETTA,LIGHTWOOD LUCRATIVE,TINOPAI WAIUKU GR,J_ S_ QUICKSILVER ROYAL,FYN LEMVIG,CLAYDON PARK FLOWER POWER,ROCK ELLA PERIMITER,COMFORT ROYAL ALF (E_T_),WINDY WILLOW MONTANA JACE,OKURA MANHATTEN-ET SJ3,CAIRNBRAE JACES ELTON,HIGHLAND DUNCAN LESTER,SOLDIERBOY BOOMER SOONER OF CJF,ISDK Q IMPULS,KONUI GLEN ELMOS BOWIE,PARKWOOD CASPER,TAWA GROVE MAUNGA ET S3J,ROCKMAPLE BROOK MONTANA,ALL LYNNS LOUIE VALENTINO,DARAWAY FLOWERPOWER NAVARA,RICHIES JACE TBONE A364,LAWMUIR ELTON,OKURA LIKA MURMUR S3J,NOWELL TARSAN,HIGHLAND MAGIC DUNCAN,NOAKES NEVVY SJ2,PANNOO ABE VANAHLEM,WHITE STAR GREG,WILLIAMS MINSTREL,SKE IDE,AHLEM LEMVIG ABE,MITCHELLS LIKABULL SJ3,ABERDEEN VALERIAN SANDOWN-ET,VAN DER FITS FJORD GR,MOLLY BROOK BRASS MAJOR,ROCK ELLA PARAMOUNT-ET,BHF-SSF PARADE LOUIE,BW PARADE-ET,LIGHTWOOD LEDA,DUNCANS PRINCE MALCOLM,WILLIAMS ROBS NORMAN,SKE HEDE,MEADOW LAWN J IMPERIAL 50R ET,JAS BYG,BAYLEA PENNYS CARLOS SJ3,SILVER FALLS QUICK FAME,S_S_ QUICKSILVER OF FALLNEVA
WILLIAMS MINSTREL - NZGMINSTREL,34,0,0,0.291019323,0,0,0.208008533,0.122108226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035574728,0,0,0,0,0,0,0.328205128,0,0,0,0,0.185576451,0,0,0,0,0,0,0,0,0,0,0,0,0.002563938
GLENHAVEN TGM GENIUS S3J - NZGGLENGENI,35,0,0,0.291019323,0,0,0.204162379,0.122108226,0,0,0,0,0,0,0,0,0,0,0,0.142948349,0.279487179,0,0,0,0,0.034613169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017307405,0,0.002563938
BROADLIN 2420 SPIRITUAL - BROADSIDE,36,0,0,0.28621161,0.208969682,0,0,0,0.205126728,0,0,0,0,0.238781949,0,0.067304779,0.046792205,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAIRNBRAE TBONE ENSIGN - CAIRNBONE,37,0,0,0,0,0,0,0.122108226,0.205126728,0,0,0.167624697,0.259615344,0,0,0.066022728,0,0,0,0,0,0.064742974,0,0,0.143589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017947733,0,0,0,0,0.013781169,0,0,0,0,0,0,0.002563938
CAIRNBRAE TBONE EDISON - CSCEDISON,38,0,0,0,0,0,0,0.122108226,0.205126728,0,0,0.167624697,0.259615344,0,0,0.066022728,0,0,0,0,0,0.064742974,0,0,0.143589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017947733,0,0,0,0,0.013781169,0,0,0,0,0,0,0.002563938
ALL LYNNS VALENTINO MARVEL - 011JE1118,39,0,0,0,0.208008123,0,0,0,0,0,0,0.162816985,0,0,0,0,0,0.26025641,0,0,0,0,0.143589744,0,0,0,0,0,0,0,0,0,0,0.066666338,0,0,0,0,0,0.031089641,0.035897436,0.029166359,0,0,0,0,0.015384205,0.015063713,0,0,0
SUNSET CANYON DAVID - 0200JE00183,40,0,0,0,0.208008123,0,0,0,0,0,0,0.162816985,0,0,0,0,0,0.26025641,0,0,0,0,0.143589744,0,0,0,0,0,0,0,0,0,0,0.066666338,0,0,0,0,0,0.031089641,0.035897436,0.029166359,0,0,0,0,0.015384205,0.015063713,0,0,0
ALL LYNNS LEGAL VOLCANO-ET - 29JE3762,41,0,0,0,0.208969682,0,0,0,0.205126728,0,0,0,0,0,0,0.066022728,0.046792205,0.26025641,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0.066666338,0,0,0,0,0,0.034935795,0,0,0,0,0,0,0.015384205,0.015063713,0,0,0
ALL LYNNS LOUIE VALENTINO - 7J1038,42,0,0,0,0.209290174,0,0,0.121146667,0,0,0,0.163778544,0,0,0,0.066022728,0.046792205,0,0,0,0,0,0.164102564,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0.034935795,0.051282051,0.033012513,0,0,0,0,0,0,0,0,0
RICHIES JACE TBONE A364 - TBONE,43,0,0,0,0,0,0,0,0.208972882,0,0,0,0.274999959,0,0,0.066984287,0.046792205,0,0,0,0,0.068589128,0,0,0.164102564,0,0,0,0.020832164,0,0,0,0,0,0,0,0,0,0.018909292,0,0,0,0,0.014742728,0,0.009294277,0,0,0,0,0
MONTANA PARK JUDLEE - JUDLEE,44,0,0,0.291019323,0,0,0,0.122108226,0.224357497,0,0,0,0,0,0,0.070830441,0,0,0,0,0,0,0,0,0,0,0,0,0.021473231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010255836,0,0,0,0,0.002563938
WHELDON GERONEMO - NZGNEMO,45,0,0,0.291019323,0,0,0,0.122108226,0.224357497,0,0,0,0,0,0,0.070830441,0,0,0,0,0,0,0,0,0,0,0,0,0.021473231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010255836,0,0,0,0,0.002563938
MARSDEN NN ELICIT - CRVELICIT,46,0,0,0,0,0,0.203200821,0,0,0,0,0,0,0,0,0,0,0,0,0.139102195,0,0,0,0,0,0,0,0,0,0.219230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054807631,0,0,0,0,0,0
BUTTERCREST GALVANIZE - 7J1151,47,0,0,0,0.208008123,0,0,0,0,0,0,0.162816985,0,0,0,0,0,0,0,0,0,0,0.143589744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031089641,0.035897436,0.029166359,0,0,0,0,0,0,0,0,0
RIVERSIDE MAXIMUM APPEAL - MAXAPPEAL,48,0,0,0,0.212815836,0,0,0,0.208972882,0,0,0,0,0,0,0.066984287,0.047753764,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009294277,0,0,0,0,0
WINDY WILLOW MONTANA JACE - 7J535,49,0,0,0,0,0,0,0,0,0,0,0,0.295512779,0,0,0,0.047753764,0,0,0,0,0.083973744,0,0,0,0,0,0,0.021473231,0,0,0,0,0,0,0,0,0,0.022755446,0,0,0,0,0.018588882,0,0,0,0,0,0,0
DJ HULK - VIKHULK,50,0,0,0,0,0,0,0,0.208972882,0,0,0,0,0,0,0.066984287,0,0,0,0,0,0,0,0,0,0,0,0,0.020511672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009294277,0,0,0,0,0
