column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,SHOREMAR JAMES,HA-HO CUBBY MANFRED-ET,MAUGHLIN STORM,BASAR,PICSTON SHOTTLE,HILL VALLEY BASAR ACME,MADAWASKA AEROSTAR,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,CARENDA FABULON-ET,ENSENADA TABOO PLANET ET,GIBBON,CAROL PRELUDE MTOTO ET,STARTMORE RUDOLPH,ROSE-BAUM TABOO,FATAL,ROUMARE,FUSTEAD EMORY BLITZ,ETAZON KNOCK OUT,A RONNYBROOK PRELUDE ET,EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,MARA-THON BW MARSHALL,GLENN-ANN PALERMO,BUNDALONG MARKS MEDALLION,OUT-JOCK CHOICE AMEL,WALKWAY CHIEF MARK,LONG-LANGS OMAN OMAN,END-ROAD BLACKSTAR MAJIC-ET,REGANCREST ALTAIOTA,DIXIE-LEE AARON -ET,END-ROAD PVF BOLIVER,EMERALD-ACRES-SA TONIC ET,JARDIN,RICH-RO MARK SAM -ET,UFM-DUBS ALTAESQUIRE,BADGER-BLUFF FANNY FREDDIE,CHARLESDALE SUPERSTITION,COUNTRY ROAD ROUMARE CANBEE,COYNE-FARMS DORCY,DELTA PARAMOUNT,EMERALD-ACR-SA T-BAXTER,END-ROAD BEACON,LARS-ACRES SHOT TRIGGER,MANNA FARM DEL SANTO,RAMOS,SANDY-VALLEY BOLTON
FARNEAR-TBR-BH FLAMER-ET - FLAMER,35,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.027972028,0,0.076923077,0,0.027972028,0,0,0,0,0,0,0,0,0,0,0.01048951,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0.146853147,0.013986014,0,0,0,0,0,0,0,0,0,0,0.01048951,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11228 TOPSY-ET - 29HO16667,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0.146853147,0.013986014,0,0,0,0,0,0,0,0,0,0,0.01048951,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANDY-VALLEY FIVESTAR-ET - 29HO18233,38,0,0,0,0,0,0,0.160839161,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,39,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.041958042,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0.01048951,0,0,0.006993007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW REDMAW KB 9975-ET - KINGTUT,40,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.027972028,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0.01048951,0,0,0.006993007,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,41,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,42,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDG ABS JERICHO-ET - 29HO18110,43,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,44,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,45,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,46,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,47,0,0,0,0,0,0,0.08041958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003496503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013986014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
