column,Row Order,O-BEE MANFRED JUSTICE,HA-HO CUBBY MANFRED-ET,JOCKO BESN,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,PICSTON SHOTTLE,BRAEDALE GOLDWYN,MAUGHLIN STORM,LONG-LANGS OMAN OMAN,SHOREMAR JAMES,CAROL PRELUDE MTOTO ET,DIXIE-LEE AARON -ET,ROUMARE,Q250 BESNE BUCK,EMPRISE BELL ELTON,GIBBON,TO-MAR BLACKSTAR ET,MADAWASKA AEROSTAR,OUT-JOCK CHOICE AMEL,HILL VALLEY BASAR ACME,BASAR,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),END-ROAD BLACKSTAR MAJIC-ET,OSDEL-ENDEAVOR BOVA CUBBY,STARTMORE RUDOLPH,A RONNYBROOK PRELUDE ET,MARA-THON BW MARSHALL,FUSTEAD EMORY BLITZ,ETAZON ADDISON,ELITE GOLD BULLION-IMP-ET,EMERALD-ACRES-SA TONIC ET,JARDIN,AG-HIGH SIGHTS BS INGOT-ET,CARENDA FABULON-ET,END-ROAD PVF BOLIVER,REGANCREST ELTON DURHAM,HOW-EL-ACRES K BELLMAN ET,JENNY-LOU MRSHL TOYSTORY,SANDY-VALLEY BOLTON,BADGER-BLUFF FANNY FREDDIE,ROYLANE SOCRA ROBUST,VELVET-VIEW-KJ SOCRATES,FATAL,CHARLESDALE SUPERSTITION,BELT,BARBEE-M JUROR ITO,NORRIELAKE CLEITUS LUKE TWIN,REGANCREST ALTAIOTA,DE-SU OBSERVER
DILEE BUDDHA OLLIE 751 - OTTMAR,35,0,0,0,0.098726115,0.098726115,0,0.136942675,0.28343949,0,0.105095541,0,0,0,0,0,0.105095541,0,0,0.073248408,0,0,0.047770701,0,0.038216561,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR AMERICA CHACAL - 29HO17762,36,0.5,0,0,0.098726115,0.098726115,0,0.136942675,0,0,0.105095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006369427
MANNA FARM MCCUTCHEN 2701-ET - ZOLTAN,37,0,0,0,0.098726115,0.098726115,0.197452229,0.136942675,0,0,0.105095541,0.248407643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARENDA VALIUM 354 - VALIUM,38,0,0,0,0.098726115,0.098726115,0,0.136942675,0.28343949,0,0.105095541,0,0,0,0,0,0,0,0,0,0.060509554,0.050955414,0.047770701,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINE-TREE-GF REMARK-P-ET - 29HO16999,39,0.5,0,0,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057324841,0.041401274,0,0,0,0,0,0,0,0,0,0.038216561,0,0,0.00955414,0.00955414,0,0,0,0,0,0,0
ADLEJAMA ATLEY PINNACLE-ET - THETOP,40,0,0,0,0.098726115,0.098726115,0,0.136942675,0,0,0.105095541,0,0,0,0,0,0,0,0,0.073248408,0,0,0,0,0.038216561,0,0,0,0,0,0.203821656,0,0,0,0,0,0,0.041401274,0,0,0,0,0,0,0,0,0,0,0,0,0
HINDLEE PICOLA GOLDCHIPDREAM 1418-ET - MICROCHIP,41,0,0,0,0.098726115,0.098726115,0.197452229,0.136942675,0,0,0.105095541,0,0,0,0,0,0,0,0,0,0.060509554,0.050955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,42,0,0,0,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0,0,0.105095541,0,0,0.073248408,0.060509554,0.050955414,0,0.200636943,0.038216561,0,0,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0.01910828,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,43,0,0,0,0.296178344,0.098726115,0.197452229,0,0,0,0,0,0,0,0,0,0,0,0,0.073248408,0,0,0,0,0.038216561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006369427
CARENDA PERTINENT - PERTINENT,44,0,0,0,0.098726115,0.098726115,0,0.136942675,0,0,0.105095541,0,0,0,0,0,0,0,0,0,0.060509554,0.050955414,0,0,0,0,0.105095541,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PURNIM PICOLA BIOCARD 4TH-ET - BIOCARD,45,0,0,0,0.098726115,0.098726115,0,0.136942675,0,0,0.105095541,0,0,0,0,0,0,0,0,0,0.060509554,0.050955414,0,0,0,0,0.105095541,0,0,0,0,0,0,0,0,0.00955414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY H CARNIVAL-ET - 29HO18020,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035031847,0,0,0,0,0.01910828,0,0,0,0.015923567,0,0,0,0,0
ABS MARION-ET - 29HO18009,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012738854,0,0,0,0,0,0,0,0,0,0
LEANINGHOUSE BURCH-ET - 29HO18104,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012738854,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,49,0,0,0,0.098726115,0.098726115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073248408,0,0,0,0,0.038216561,0,0.105095541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,50,0,0,0,0.098726115,0,0.197452229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0.00955414,0,0,0,0,0,0,0
