column,Row Order,MANNA FARM DEL SANTO,HILL VALLEY BASAR ACME,BRAEDALE GOLDWYN,CARENDA FABULON-ET,O-BEE MANFRED JUSTICE,JOCKO BESN,BASAR,ROUMARE,SHOREMAR JAMES,GIBBON,MAUGHLIN STORM,RALMA GOLD CROWN,Q250 BESNE BUCK,HA-HO CUBBY MANFRED-ET,PICSTON SHOTTLE,JARDIN,PIROLO GOLDW_ WYMAN,SHOREMAR PERFECT STAR (ET),ENSENADA TABOO PLANET ET,A MARK CJ GILBROOK GRAND ET,BELT,FATAL,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,CAROL PRELUDE MTOTO ET,ROSE-BAUM TABOO,EMERALD-ACRES-SA TONIC ET,REGANCREST ELTON DURHAM,OSDEL-ENDEAVOR BOVA CUBBY,WALKWAY CHIEF MARK,A RONNYBROOK PRELUDE ET,SIR C VALOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.013104774,0,0,0,0,0,0,0.003024129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEEMAR ASTON-ET - 29HO18076,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028729806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012096774,0,0,0,0,0,0,0.003024129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRENTANO - GGIBRENTANO,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006048387,0,0,0,0,0,0,0.001512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MANSFIELD-ET - 29HO18006,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004536258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
