column,Row Order,BASAR,HILL VALLEY BASAR ACME,O-BEE MANFRED JUSTICE,CARENDA FABULON-ET,GIBBON,BRAEDALE GOLDWYN,SHOREMAR JAMES,MAUGHLIN STORM,HA-HO CUBBY MANFRED-ET,JOCKO BESN,Q250 BESNE BUCK,A MARK CJ GILBROOK GRAND ET,SHOREMAR PERFECT STAR (ET),MANNA FARM DEL SANTO,BELT,ROUMARE,MADAWASKA AEROSTAR,EMPRISE BELL ELTON,PICSTON SHOTTLE,FATAL,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,OSDEL-ENDEAVOR BOVA CUBBY,EMERALD-ACRES-SA TONIC ET,JARDIN,CAROL PRELUDE MTOTO ET,WALKWAY CHIEF MARK,REGANCREST ELTON DURHAM,RALMA GOLD CROWN,PIROLO GOLDW_ WYMAN,A RONNYBROOK PRELUDE ET,SIR C VALOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RENGAW CAPGAIN JELLY-ET - JELLY,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.016949153,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEEMAR ASTON-ET - 29HO18076,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CALUMET-ET - 29HO18101,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MACINTOSH-ET - 29HO17989,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LARCREST CAYLE-ETS - 29HO18041,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMFORT MONTEREY MONEYMAN-ET - 29HO18094,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAGULL-BAY JO DANCER-ET - 29HO18018,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NO-FLA MERIT-ET - 29HO18045,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014124294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRENTANO - GGIBRENTANO,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE-SU 11231 TURVY-ET - 29HO16668,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN JINGO - 29HO17285,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COOCKIECUTTER HARPER - 29HO17747,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRABANTDALE DRAKE-ET - 29HO18093,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABS MANSFIELD-ET - 29HO18006,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005649718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
