column,Row Order,MADAWASKA AEROSTAR,CAROL PRELUDE MTOTO ET,EMPRISE BELL ELTON,A RONNYBROOK PRELUDE ET,HA-HO CUBBY MANFRED-ET,O-BEE MANFRED JUSTICE,PICSTON SHOTTLE,OSDEL-ENDEAVOR BOVA CUBBY,MAUGHLIN STORM,BRAEDALE GOLDWYN,A MARK CJ GILBROOK GRAND ET,OUT-JOCK CHOICE AMEL,JOCKO BESN,GIBBON,Q250 BESNE BUCK,NORRIELAKE CLEITUS LUKE TWIN,HANOVERHILL STARBUCK,ENSENADA TABOO PLANET ET,ROSE-BAUM TABOO,RAMOS,DIXIE-LEE AARON -ET,BIS-MAY S-E-L MOUNTAIN ET,BIS-MAY TRADITION CLEITUS,MARA-THON BW MARSHALL,END-ROAD BLACKSTAR MAJIC-ET,ROTHROCK TRADITION LEADMAN,ROUMARE,KED JUROR ET,ELITE GOLD BULLION-IMP-ET,AG-HIGH SIGHTS BS INGOT-ET,MAIZEFIELD BELLWOOD - (E_T_),CARLIN-M IVANHOE BELL,ELITE MOUNTAIN DONOR IMP (E_T),SHEN-VAL NV LM FORMATION-ET,HOW-EL-ACRES K BELLMAN ET,MJR BLACKSTAR EMORY-ET,LUKAS-ET,DELLKA JUROR GORDON - TW,BURLANE TENNYSON,LANCELOT,DE-SU 521 BOOKEM,JENNY-LOU MRSHL TOYSTORY,ATHOL M K VULCAN,ETAZON JIMTOWN,FULLERTONS WARD,HIBI SECRET SKELTON,KAPAWAI JIMTOWN POSH,LLOYDS EXCELLENCY,MCMILLANS TROPHY,SAVANNAHS HF HAMMER S1F
SEAGULL-BAY SUPERSIRE - 7H11351,39,0,0,0,0.416572077,0.303632236,0.286038593,0,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0.019296254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMU BANKS CHRISTMAS-ET - CHRISTMAS,40,0,0,0,0,0,0,0,0,0,0,0,0,0.150397276,0.089103292,0.131101022,0,0.072077185,0,0,0,0,0,0,0,0,0,0.041430193,0,0.063564132,0.061293984,0,0,0,0,0.049943246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAARMONA CARLUSH-ET - CARLUSH,41,0,0,0,0,0,0,0,0,0,0,0,0,0.150397276,0.178206583,0.131101022,0,0,0,0,0,0,0,0,0,0,0,0.041430193,0,0.063564132,0.061293984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANNA FARM DEL SANTO - DELSANTO,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089103292,0,0,0.072077185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSENADA TABOO PLANET ET - 7H8081,43,0,0,0,0,0,0,0,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROYLANE BOOKEM BOB 5170-ET - 7HO11752,44,0,0,0,0,0,0,0,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0.085130533,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018728717,0,0,0,0,0,0,0,0,0
DE-SU 11236 BALISTO-ET - 29HO16714,45,0,0,0,0,0,0,0,0,0,0,0,0.066969353,0,0,0,0,0,0.037457435,0.037457435,0.085130533,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018728717,0,0,0,0,0,0,0,0,0
D LIMBO - VIKLIMBO,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20431328,0,0,0.105561862,0,0,0,0,0,0,0,0,0,0,0.07661748,0,0,0.044267877,0,0,0,0,0,0,0,0,0,0
ADLEJAMA DELSANTO PICOLA - PICOLA,47,0,0,0,0,0,0,0,0,0,0,0,0.066969353,0,0.089103292,0,0,0,0.037457435,0.037457435,0,0,0,0,0,0.017026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAGSWORTH SH KEEPSAKE S2F - NZGKEEPSAKE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAN HEUVENS VA REMEDY S1F - NZGREMEDEE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
