column,Row Order,O-BEE MANFRED JUSTICE,BRAEDALE GOLDWYN,ENSENADA TABOO PLANET ET,HA-HO CUBBY MANFRED-ET,LONG-LANGS OMAN OMAN,ROUMARE,JOCKO BESN,HILL VALLEY BASAR ACME,SHOREMAR JAMES,BUSHLEA PERFECTOR BOLD-ET,ROSE-BAUM TABOO,DE-SU OBSERVER,CARENDA FABULON-ET,MAUGHLIN STORM,GIBBON,PICSTON SHOTTLE,ELITE MOUNTAIN DONOR IMP (E_T),EMPRISE BELL ELTON,OSDEL-ENDEAVOR BOVA CUBBY,SINGING-BROOK N-B MASCOT ET,Q250 BESNE BUCK,ELITE GOLD BULLION-IMP-ET,BASAR,CAROL PRELUDE MTOTO ET,OUT-JOCK CHOICE AMEL,A MARK CJ GILBROOK GRAND ET,TO-MAR BLACKSTAR ET,COUNTRY ROAD ROUMARE CANBEE,ETAZON KNOCK OUT,MADAWASKA AEROSTAR,END-ROAD BLACKSTAR MAJIC-ET,BUSHLEA WAVES FABULON,DIXIE-LEE AARON -ET,BIS-MAY S-E-L MOUNTAIN ET,SOUTHWIND BELL OF BAR-LEE,ROYLANE SOCRA ROBUST,SHOREMAR PERFECT STAR (ET),HANOVERHILL STARBUCK,MANNA FARM DEL SANTO,FAIRMONT MINT-EDITION,AG-HIGH SIGHTS BS INGOT-ET,A RONNYBROOK PRELUDE ET,BELT,FATAL,NORRIELAKE CLEITUS LUKE TWIN,STARTMORE RUDOLPH,WALKWAY CHIEF MARK,BIS-MAY TRADITION CLEITUS,ETAZON CELSIUS,CARLIN-M IVANHOE BELL
RENGAW JARDIN JANEK - JANEK,41,0,0,0,0,0,0,0.428841863,0,0,0,0,0,0,0,0,0.084123882,0,0,0,0,0.102464582,0,0,0.032257662,0,0,0,0,0,0.019606938,0,0,0,0,0.040478334,0,0,0.020239248,0,0,0,0.007589819,0,0,0,0,0,0.0088546,0,0
SHEEKNOLL ALTAVITTEK - 011HO10909,42,0,0,0.447818435,0,0,0,0,0,0,0,0.111953921,0,0,0,0,0,0,0,0,0,0,0,0,0.032257662,0.0284617,0,0.032256367,0,0,0,0.025299343,0,0,0,0,0,0,0,0,0,0,0.007589819,0,0,0,0,0,0,0,0
ROSYLANE-LLC ALTALEO - 011HO11115,43,0,0,0.417457863,0,0,0,0,0,0,0,0.104363778,0,0,0,0,0.076533739,0,0,0,0,0,0,0,0.030360086,0.026564124,0,0,0,0,0,0.023401767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALJO TEL MAELSTROM - CRVMAELSTROM,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070837286,0,0,0,0,0,0,0,0,0.163185564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039215172,0,0,0,0,0.010752338,0
COGENT TWIST - COGENTTWIST,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114484454,0,0,0,0,0,0,0,0.039847805,0,0,0.032256367,0,0,0.021504514,0,0,0,0,0,0,0,0.020871719,0,0,0,0.009487395,0,0,0,0,0,0,0.012649914,0
HAZAEL DAUNTLESS FREEDOM - NZGHAZFREEDM,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070837286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037317596,0,0,0,0.0088546,0,0
MOURNE GROVE HOTHOUSE S2F - NZGHOTHOUSE,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070837286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUSY BROOK REVITUP-ET S2F - NZGREVITUP,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010752338,0
SRC GLENMEAD RUSH - NZGGLENRUSH,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088546,0,0
WHINLEA PF ESTEEM-ET S2F - NZGWHESTEEM,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088546,0,0
